"tourney","Division","Round","Date","game_id","mT1P1","mT1P2","mT2P1","mT2P2","mT1_result","mT1_score","mT2_score"
"2021TEXAS","WOMEN'S","POOL",21-06-12,1,"ALLI KAUFFMAN ROGERS","BECCA GRAHAM","JULIA TIMAN","ALLISON JENNERICH",1,15,8
"2021TEXAS","WOMEN'S","POOL",21-06-12,2,"ALLI KAUFFMAN ROGERS","BECCA GRAHAM","JULIA TIMAN","ALLISON JENNERICH",1,15,9
"2021TEXAS","WOMEN'S","POOL",21-06-12,3,"KATIE PARKER","MEY HELM","MARANDA DOVE","KATIE PIERSON",0,11,15
"2021TEXAS","WOMEN'S","POOL",21-06-12,4,"KATIE PARKER","MEY HELM","MARANDA DOVE","KATIE PIERSON",0,8,15
"2021TEXAS","WOMEN'S","POOL",21-06-12,5,"ALI JENKI","OLIVIA JENKI","SARAH ALLEN","KENYA MEDINA",1,15,9
"2021TEXAS","WOMEN'S","POOL",21-06-12,6,"ALI JENKI","OLIVIA JENKI","SARAH ALLEN","KENYA MEDINA",1,15,6
"2021TEXAS","WOMEN'S","POOL",21-06-12,7,"KALIN MORGAN","KAYLA WU-FLEMING","ALLIE FOSTER","KARAH HUI",1,15,13
"2021TEXAS","WOMEN'S","POOL",21-06-12,8,"KALIN MORGAN","KAYLA WU-FLEMING","ALLIE FOSTER","KARAH HUI",0,12,15
"2021TEXAS","WOMEN'S","POOL",21-06-12,9,"KALIN MORGAN","KAYLA WU-FLEMING","ALLIE FOSTER","KARAH HUI",1,15,11
"2021TEXAS","WOMEN'S","POOL",21-06-12,10,"SHANNON TUBBESING","SHACHI PATEL","AUNALISA HARRISON","JULIE OROZCO",1,15,4
"2021TEXAS","WOMEN'S","POOL",21-06-12,11,"SHANNON TUBBESING","SHACHI PATEL","AUNALISA HARRISON","JULIE OROZCO",1,15,2
"2021TEXAS","WOMEN'S","POOL",21-06-12,12,"KATIE BARTLEY","COURTNEY MIDDELKOOP","EMILY ASHWORTH","BEKAH SMITH",1,15,14
"2021TEXAS","WOMEN'S","POOL",21-06-12,13,"KATIE BARTLEY","COURTNEY MIDDELKOOP","EMILY ASHWORTH","BEKAH SMITH",1,15,10
"2021TEXAS","WOMEN'S","POOL",21-06-12,14,"ALLI KAUFFMAN ROGERS","BECCA GRAHAM","MARANDA DOVE","KATIE PIERSON",1,15,11
"2021TEXAS","WOMEN'S","POOL",21-06-12,15,"ALLI KAUFFMAN ROGERS","BECCA GRAHAM","MARANDA DOVE","KATIE PIERSON",1,15,12
"2021TEXAS","WOMEN'S","POOL",21-06-12,16,"HEIDI HAZE","JOELLE NGUYEN","JULIA TIMAN","ALLISON JENNERICH",1,15,9
"2021TEXAS","WOMEN'S","POOL",21-06-12,17,"HEIDI HAZE","JOELLE NGUYEN","JULIA TIMAN","ALLISON JENNERICH",1,15,8
"2021TEXAS","WOMEN'S","POOL",21-06-12,18,"ALI JENKI","OLIVIA JENKI","ALLIE FOSTER","KARAH HUI",1,15,8
"2021TEXAS","WOMEN'S","POOL",21-06-12,19,"ALI JENKI","OLIVIA JENKI","ALLIE FOSTER","KARAH HUI",1,15,7
"2021TEXAS","WOMEN'S","POOL",21-06-12,20,"KALIN MORGAN","KAYLA WU-FLEMING","SARAH ALLEN","KENYA MEDINA",1,17,15
"2021TEXAS","WOMEN'S","POOL",21-06-12,21,"KALIN MORGAN","KAYLA WU-FLEMING","SARAH ALLEN","KENYA MEDINA",1,15,13
